,KODE,NAMA BAHAN,SUMBER,Food Group,Type,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),Unnamed: 24
738,DR131,"Paria putih, segar",KZGPI-1990,sayuran,single,94.4,19,1,0.4,3.6,1.3,0.6,31,65,0.9,5,277.7,0.03,0.8,0,197,80,0.18,0.04,0.4,58,80
739,DR132,"Pepare ular, segar",KZGMI-2001,sayuran,single,95.1,19,0.6,0.1,3.9,1,0.3,20,10,0.4,130,30,0.1,0.1,,69,,0.1,0.1,0.1,9,97
740,DR133,"Pepaya muda, segar",DABM-1964,sayuran,single,92.3,29,2.1,0.1,4.9,2.1,0.6,50,16,0.4,22,211.2,0.01,0,,0,50,0.02,0.03,0.3,19,65
741,DR134,"Petai, segar",KZGMI-2001,sayuran,single,77.2,92,5.4,1.1,15.2,2,1.1,14,170,1.6,55,221,0.2,0.8,,114,,0.8,0.1,6.1,34,36
742,DR135,"Peterseli, segar",DABM-1964,sayuran,single,83.9,53,3.7,1,9,0,2.4,193,84,4.3,18,"1125.
6",0.2,1.4,,2940,8230,0.11,0.29,0.7,"19
3",95
743,DR136,"Pucuk lumai/daun
leunca, segar",KZGMI-2001,sayuran,single,91,33,4.5,0.4,2.8,,1.3,13,75,2.9,2,0,0.2,0.6,,,,0.5,0.1,,41,70
744,DR137,"Putri malu, segar",KZGMI-2001,sayuran,single,80.2,76,3.6,0.3,14.6,7.1,1.3,119,84,3.3,1,631,0.6,1.4,,4762,,0.6,0.6,,6,
745,TUNGGAL/SINGLE,,,serealia,single,,,,,,,,,,,,,,,,,,,,,,
762,AR017,"Jagung pipil var,
harapan, kering",KZGPI- 1990,serealia,single,11.3,367,6.2,5.1,76.2,2.6,1.2,7,354,2.8,1,79.6,0.1,4.1,,637,385,0.19,0.08,1,0,100
763,AR018,"Jagung pipil var,
metro, kering",KZGPI- 1990,serealia,single,10.6,368,5.5,4.6,78,2.9,1.3,7,300,2.4,1,80.2,0.1,4.1,,642,554,0.16,0.08,1,0,100
767,OLAHAN/PRODUK/KOMPOSIT,,,serealia,processed food,,,,,,,,,,,,,,,,,,,,,,
768,AP001,Nasi,KZGPI- 1990,serealia,processed food,56.7,180,3,0.3,39.8,0.2,0.2,25,27,0.4,1,38,0.1,0.6,0,0,,0.05,0.1,2.6,0,100
769,AP002,Nasi tim,OKN-1992,serealia,processed food,71,120,2.4,0.4,26,0.5,0.2,3,7,0.4,0,23.9,0.1,0.4,,0,,0.1,0,1.4,0,100
774,AP007,Bihun goreng instan,KZGMS-1993,serealia,processed food,9,381,6.1,3.9,80.3,,0.7,266,151,2.9,928,,,,58,,400,0.37,,,0,100
777,AP010,"Jagung muda, rebus",KZGPI- 1990,serealia,processed food,53.2,142,5,0.7,30.3,0.8,0.8,5,105,0.8,5,24.3,0.2,0.9,,145,225,0.15,0,0.7,0,100
779,AP012,"Jagung kuning pipil,
rebus",KZGPI- 1990,serealia,processed food,63.7,154,3.8,3.5,28.4,0.7,0.6,7,171,0.5,5,56.4,0.1,4.4,,818,234,0.08,0.1,1.7,0,100
781,AP014,"Ketan, ketupat",KZGPI- 1990,serealia,processed food,52,212,4,4.6,38.6,0.2,0.9,8,46,1,,,,,0,0,0,0.07,,0.2,0,100
782,AP015,"Ketan hitam, matang",KZGPI- 1990,serealia,processed food,56.9,181,4,1.2,37.3,0.3,0.6,9,144,1.7,9,18.4,0.1,0.7,0,0,0,0.06,0,0.5,0,100
783,AP016,"Ketan hitam, tapai",KZGPI- 1990,camilan,processed food,50.2,166,3.8,1,34.4,0.3,0.6,8,106,1.6,5,12,,,,,0,0.02,,,0,100
784,AP017,"Ketan putih, matang",KZGPI- 1990,camilan,processed food,60.7,163,3,0.4,35.7,0.2,0.2,4,55,0.7,8,16.8,0.1,0.7,0,0,0,0.07,0,0.5,0,100
785,AP018,"Ketan putih, tapai",KZGPI- 1990,camilan,processed food,58.9,172,3,0.5,37.5,0.6,0.1,6,35,0.5,1,,,,0,0,0,0.04,0,0.2,0,100
788,AP021,Mi basah,DABM-1964,serealia,processed food,80,88,0.6,3.3,14,0.1,2.1,14,13,6.8,63,13.5,0.06,0.4,,0,,0,0,0,0,100
789,AP022,Mi kering,KZGPI- 1990,serealia,processed food,10.6,339,10,1.7,6.3,0.4,1.4,31,143,3.9,760,83,0.29,1.9,,,0,0,0.08,2.2,0,100
790,AP023,Misoa,KZGPI- 1990,serealia,processed food,10,345,8.5,2.2,78,0.5,1.3,52,120,8.7,3064,44,0.08,0,0,0,0,0,0.02,0.2,0,100
791,AP024,Roti putih,DABM-1964,serealia,processed food,40,248,8,1.2,50,9.1,0.8,10,95,1.5,530,91,0.15,0.9,0,0,0,0.1,0.29,2.4,0,100
793,AP026,Amparan tatak,KZGMI-2001,serealia,processed food,58.4,191,1.3,5.5,34,,0.8,,,,,,,,,,,,,,-,100
794,AP027,"Apang kukus, kue",KZGMI-2001,camilan,processed food,49.5,202,3,0.3,46.7,,0.5,,,,,,,,,,,,,,-,100
795,AP028,"Apem, kue",KZGMI-2001,camilan,processed food,63.1,148,2,0.5,33.9,,0.5,,,,,,,,,,,,,,-,100
796,AP029,Biskuit,DABM-1964,camilan,processed food,2.2,458,6.9,14.4,75.1,2.1,1.4,62,87,2.7,241,20.3,0.16,0.6,0,14,,0.09,0.15,1.4,0,100
797,AP030,"Bakpia, kue",KZGPI- 1990,camilan,processed food,38.9,272,8.7,6.7,44.1,0.9,1.6,194,117,4.5,-,-,-,-,-,-,1392,0.31,1,2.9,0,100
798,AP031,Bakwan,KZGPI- 1990,camilan,processed food,40.5,280,8.2,10.2,39,3.4,2.1,204,79,7,-,-,-,-,0,-,0,0.08,-,-,0,100
799,AP032,Bantal,KZGMI-2001,camilan,processed food,52.3,190,3.3,0.3,43.5,3.4,0.6,9,0,0.4,164,84,0.2,0.9,-,-,-,0.27,0.02,3.6,-,100
800,AP033,Baruasa,KZGMI-2001,camilan,processed food,5.3,417,6.5,8.2,79.3,-,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
801,AP034,Batar daan,KZGMI-2001,camilan,processed food,75.3,107,2.2,2.2,19.6,-,0.7,20,30,0.6,"200.
0",90,0.1,-,-,-,-,0.18,0.02,-,-,100
802,AP035,Bika ambon,KZGPI- 1990,camilan,processed food,51.5,199,2.1,1.5,44.4,0.3,0.6,45,28,1.8,-,-,-,-,0,-,408,0.1,-,0,0,100
803,AP036,Bingka,KZGMI-2001,camilan,processed food,44.4,273,5.3,10.6,39.1,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
804,AP037,Bobengka,KZGMI-2001,camilan,processed food,46.3,225,5.3,2.6,45.2,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
805,AP038,Bolu peca,KZGMI-2001,camilan,processed food,55.6,197,3.3,4.6,35.6,-,0.9,-,0,0,0,0,-,-,-,-,-,-,0,0,0,100
806,AP039,Brem,KZGPI-1990,camilan,processed food,37.4,249,3.4,0.4,58,0,0.9,198,86,2,-,-,-,-,0,,240,0.34,0,0,0,100
807,AP040,"Bubur tinotuan
(Manado)",KZGMI-2001,camilan,processed food,80.9,156,2.3,0.2,15.6,8.2,1,41,20,0.4,486,164,0.3,0.4,-,1437,,0.1,0.04,,15,100
808,AP041,Cake tape,KZGMI-2001,camilan,processed food,32.2,323,4.9,11.5,50.1,1.4,1.4,131,83,2.6,,,,,26,,1872,0.38,0.16,0.3,0,100
809,AP042,Cangkuning,KZGMI-2001,camilan,processed food,57.5,204,2.8,7.5,31.4,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
810,AP043,Dodol bali,KZGPI- 1990,camilan,processed food,26.5,298,3.7,2.1,65.9,0.4,1.8,70,76,2.5,,,,,0,0,496,0.28,,2.5,0,100
811,AP044,Dodol galamai,KZGMI-2001,camilan,processed food,16.5,348,0.4,3.8,76.1,0.5,1.2,41,144,2.6,38,76,0.3,2.1,0,0,0,0.03,0.06,1.8,0,100
812,AP045,Dodol kedondong,KZGPI- 1990,camilan,processed food,26.4,331,1.9,7.6,63.8,1,0.4,90,55,2.3,-,-,-,-,0,-,408,0.11,-,0.8,5,100
813,AP046,Dodol manado,KZGMI-2001,camilan,processed food,26.1,373,4.3,16.5,51.9,0.4,1.2,41,142,2.4,35,72,0.3,2.1,0,0,0,0.04,0.06,2.1,0,100
815,AP048,Gemblong,KZGPI- 1990,camilan,processed food,36.2,274,1.7,5.4,55.5,2.2,1.2,69,55,3.3,-,-,-,-,0,0,0,0,-,-,0,100
816,AP049,Gendar goreng,KZGPI- 1990,camilan,processed food,30.4,407,6.4,28.2,32,0.1,3,216,62,1.6,-,-,-,-,0,,184,0.16,0,0.6,0,100
817,AP050,Intip goreng,KZGPI- 1990,camilan,processed food,6.5,474,7.6,21.6,62.3,1.2,2,36,64,2.5,0,38,0.05,0.5,-,0,200,0.25,0.03,0.8,0,100
818,AP051,Jagung gerontol,KZGPI- 1990,camilan,processed food,61.7,156,2.7,1.3,33.3,1,0.8,51,105,1.2,-,-,-,-,0,-,162,0.08,0,0,0,100
819,AP052,Jagung titi,KZGPI- 1990,camilan,processed food,9.2,374,9.4,2.2,79.1,0.8,0.1,14,142,2.9,-,-,9,-,-,-,11507,0.2,-,-,-,100
820,AP053,Japilus,KZGPI- 1990,camilan,processed food,3.8,500,1.2,25.1,67.3,0.4,2.7,186,29,4.9,-,-,-,-,0,-,0,0.17,0.03,0.4,0,100
821,AP054,Kakicak,KZGMI-2001,camilan,processed food,43.9,296,3.4,15.1,36.7,-,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
822,AP055,Kambose,KZGMI-2001,camilan,processed food,61.5,164,3,2.4,32.6,4.3,0.7,16,36,0.7,0,32,0.1,1.6,0,256,-,0.1,0.1,0.4,-,100
823,AP056,Kapusa,KZGMI-2001,camilan,processed food,63.5,158,4.4,3.2,27.8,5.3,1,79,115,1.2,104,149,0.5,1.1,0,1374,-,0.06,0.05,0.1,0,100
824,AP057,Keddo bodong,KZGMI-2001,camilan,processed food,33.9,290,4.6,5.7,55.2,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
825,AP058,"Kelepon, kue",KZGMI-2001,camilan,processed food,49.6,215,3.7,3.7,41.8,1,1.2,232,45,3.3,-,-,-,-,0,-,872,0.09,0.07,0.2,0,100
826,AP059,Kereput,KZGMI-2001,camilan,processed food,3.5,580,4.8,39.6,51.1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
827,AP060,Ketoprak,KZGPI-1990,serealia,processed food,69.1,153,7.9,7.7,13,2.9,2.6,153,134,3.4,-,-,-,-,3,-,435,0.05,-,-,0,100
828,AP061,Ketupat kandangan,KZGMI-2001,serealia,processed food,78.5,109,2.2,5.2,13.4,-,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
829,AP062,Koya,KZGMI-2001,camilan,processed food,13.2,366,4.2,4.3,77.5,0.8,0.8,153,222,7,-,-,-,-,0,-,-,-,-,-,0,100
830,AP063,Koya mirasa,KZGMI-2001,camilan,processed food,7.2,370,8,1,82.2,0.4,1.6,83,110,"17.
0",-,-,-,-,3,-,144,0.19,0.45,2.6,0,100
831,AP064,Koyabu,KZGMI-2001,camilan,processed food,44.2,241,3.4,4.3,47.2,-,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
832,AP065,Kue ali,KZGMI-2001,camilan,processed food,12.8,440,3.8,18.5,64.5,0.3,0.4,27,47,2.5,-,-,-,-,0,-,0,0.13,0.09,0,0,100
833,AP066,Kue bangen,KZGMI-2001,camilan,processed food,5.6,442,3.3,14.7,74.2,-,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
834,AP067,Kue gelang,KZGMI-2001,camilan,processed food,7.1,448,5.8,16.1,70,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
835,AP068,Kue jahe,KZGPI- 1990,camilan,processed food,3.7,425,1.6,8.8,84.6,1.2,1.3,155,61,4,-,-,-,-,-,-,0,0.2,-,-,0,100
836,AP069,Kue kelapa,KZGMI-2001,camilan,processed food,3.3,591,5.6,42.1,47.5,-,1.5,32,180,1.6,33,443,0.5,1.1,-,-,-,-,-,-,-,100
837,AP070,Kue koa,KZGMI-2001,camilan,processed food,14.5,340,4.8,0.4,79.3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
838,AP071,Kue ku temu,KZGMI-2001,camilan,processed food,46.2,214,3.5,0.2,49.6,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
839,AP072,Kue lumpur,KZGMS-1993,camilan,processed food,40.1,291,3.6,11.1,44.1,-,1.1,96,60,2.3,-,-,-,-,20,-,400,0.24,-,-,-,100
840,AP073,Kue pelita,KZGMI-2001,camilan,processed food,71,141,5.3,5.5,17.6,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
841,AP074,Kue putu cangkir,KZGPI- 1990,camilan,processed food,32.6,304,5.3,7,54.9,0.9,0.2,18,193,4,-,-,-,-,0,-,0,0.06,-,-,0,100
842,AP075,Kue sus,KZGMS-1993,camilan,processed food,56.6,221,7.5,10.2,24.8,-,0.9,105,85,2.5,-,-,-,-,26,-,1300,0.12,-,-,0,100
843,AP076,Kue thipan,KZGMI-2001,camilan,processed food,43,247,2.9,4.2,49.5,-,0.4,16,107,1.8,95,56,1.3,0.8,-,-,-,0.17,-,-,-,100
844,AP077,Laksa/Putu mayang,KZGMI-2001,camilan,processed food,73.2,121,1.7,3.4,21.1,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
845,AP078,Lapis legit,KZGPI- 1990,camilan,processed food,21.3,389,6.6,15.7,55.5,0.5,0.9,16,136,1.9,-,-,-,-,41,-,1032,0.26,0.09,3,0,100
846,AP079,Lupis ketan,KZGPI- 1990,camilan,processed food,61,164,1.8,2.1,34.5,0.7,0.6,119,31,1.5,-,-,-,-,0,-,0,0.09,0,0.2,0,100
847,AP080,Manan samin,KZGMI-2001,camilan,processed food,27.1,379,3.4,18.1,50.6,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
848,AP081,Martabak india,KZGMI-2001,camilan,processed food,65.8,153,4.5,4.2,24.3,-,1.2,14,108,2.4,240,112,0.4,0.5,-,-,-,-,-,-,-,100
849,AP082,Martabak mesir,KZGMI-2001,camilan,processed food,40.2,278,5.1,8.6,45,-,1.1,49,168,3.4,193,123,0.2,0.9,-,-,-,-,-,-,-,100
850,AP083,Masekat,KZGMI-2001,serealia,processed food,15.6,369,2.1,7,74.1,4,0.8,17,52,0.8,141,12,0.4,0.3,155,-,-,-,-,-,-,100
851,AP084,Mie aceh rebus,KZGMI-2001,serealia,processed food,74.6,113,3,3.2,18.1,-,1.1,22,44,1.4,191,36,0.2,0.3,0,0,-,0,0,0,0,100
852,AP085,Mie ayam,KZGMS-1993,serealia,processed food,78.6,102,6.2,3.9,10.5,-,0.8,262,51,1.8,279,-,-,-,39,-,166,0.85,-,0,0,100
853,AP086,Mie bakso,KZGMS-1993,serealia,processed food,74.5,114,5.3,3,16.4,0.1,0.8,286,53,1.9,760,-,-,-,17,-,180,0.16,-,-,0,100
854,AP087,Mie celon,KZGMI-2001,serealia,processed food,75.9,102,3,2.1,17.8,-,1.2,12,84,1.4,451,112,0.1,0.5,0,0,-,0,0,0,0,100
855,AP088,Mie pangsit basah,KZGMS-1993,serealia,processed food,79.2,105,5.9,4.9,9.4,-,0.7,208,48,2,530,-,-,-,25,-,620,0.46,-,-,0,100
856,AP089,Nasi gemuk,KZGMI-2001,serealia,processed food,61.4,192,3.8,8.8,24.4,0.7,1.6,15,74,1,355,63,0.2,1.4,0,0,-,0.19,0.05,2,0,100
857,AP090,Nasi gurih,KZGMI-2001,serealia,processed food,60.5,190,4.7,7.5,26,0.7,1.3,12,62,0.8,296,52,0.2,1.2,0,0,-,0.11,0.06,2.1,0,100
858,AP091,Nasi minyak,KZGMI-2001,serealia,processed food,53.3,207,3.5,5,37.1,0.8,1.1,26,100,1.5,74,174,0.2,2.2,0,0,-,0.14,0.07,2.6,0,100
859,AP092,Nasi rames,KZGMS-1993,serealia,processed food,65.8,155,10.3,4.2,19.1,-,0.6,239,62,1.8,265,-,-,-,96,-,3140,0.59,0,-,-,100
860,AP093,Nopia spesial,KZGPI- 1990,camilan,processed food,11.5,387,5.3,7.6,74.3,0.3,1.3,903,133,4.2,-,-,-,-,-,-,512,0.17,-,-,0,100
861,AP094,Onde-onde,KZGMI-2001,camilan,processed food,27.7,336,4,9.8,57.9,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
862,AP095,Padamaran,KZGMI-2001,camilan,processed food,67.6,171,3.9,8.9,18.8,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
863,AP096,Pastel,KZGMS-1993,camilan,processed food,38.3,307,4.5,13.3,42.4,-,1.5,296,53,2.5,-,-,-,-,0,-,5360,0.15,-,-,0,100
864,AP097,Pulut,KZGMI-2001,camilan,processed food,49.1,216,2.6,3.1,44.4,-,0.8,6,70,3.8,100,22,0.4,1.3,0,0,-,0.14,-,-,-,100
865,AP098,Pundut nasi,KZGMI-2001,camilan,processed food,77.8,104,1.9,4.1,15.1,0.4,1.1,26,100,1.5,74,174,0,0,-,-,-,-,-,-,-,100
866,AP099,Putri hijau,KGZMI-2001,camilan,processed food,54.8,189,5.4,2.1,37.2,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
867,AP100,Putri selat,KZGMI-2001,camilan,processed food,66.6,163,2.2,6.5,23.8,-,0.9,72,3,4,6,68,-,-,0,0,-,-,-,-,-,100
868,AP101,Putu sopa,KZGMI-2001,camilan,processed food,50.7,215,3.3,4.1,41.1,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
869,AP102,Renggi goreng,KZGMI-2001,camilan,processed food,8.8,471,4.7,21.8,64.1,6.4,0.6,4,80,1.1,126,29,0.9,1.3,0,0,0,0.53,0.05,8.2,0,100
870,AP103,Roti boong,KZGMI-2001,camilan,processed food,34,341,5.5,16.2,43.3,-,1,15,65,1.1,161,41,-,0.9,-,-,-,0.4,0.3,2.4,0,100
871,AP104,"Roti warna sawo
matang",DABM-1964,camilan,processed food,40,249,7.9,1.5,49.7,-,0.9,20,140,2.5,500,91,-,-,0,0,0,0.15,-,-,0,100
872,AP105,Sarimuka,KZGMI-2001,serealia,processed food,61.5,166,2.3,2.8,32.9,-,0.5,36,13,2,3,34,0,0,-,-,-,-,-,-,-,100
873,AP106,Spaghetti,KZGMS-1993,serealia,processed food,66.1,139,7.4,2.1,22.6,-,2.1,109,53,4.7,-,-,-,-,42,-,940,0.35,-,-,0,100
874,AP107,Srikaya ketan,KZGMI-2001,camilan,processed food,41,265,2.7,6.4,49.1,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
875,AP108,Sunduk lawang,KZGMI-2001,camilan,processed food,63.4,181,1.9,1.3,32.4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100
876,AP109,Suwir-suwir,KZGPI- 1990,camilan,processed food,13.4,347,0.5,0.9,84.2,0.8,1,42,40,4.3,-,-,-,-,1,-,240,0.13,-,0.9,0,100
877,AP110,Tipa-tipa,KZGPI- 1990,camilan,processed food,11.3,355,6.2,1.2,79.8,1.3,1.5,17,328,1.6,-,-,-,-,0,0,0,0.26,0.04,1.5,0,100
878,AP111,Wajit camilan,KZGPI- 1990,camilan,processed food,27.1,303,6.3,2.7,63.3,6.9,0.6,61,302,5.5,-,-,-,-,0,-,0,0.03,-,-,0,100
879,AP112,Widaran,KZGPI- 1990,camilan,processed food,7,424,1.3,10.7,80.7,0.2,0.3,49,88,2.5,-,-,-,-,21,-,440,0.13,0.2,2.2,0,100
880,AP113,Wingko babat,KZGPI- 1990,camilan,processed food,29.7,355,3.2,15.1,51.4,2.4,0.7,47,63,1.1,-,-,-,-,0,-,0,0.08,0.08,0,0,100
881,AP114,Yangko,KZGPI- 1990,camilan,processed food,37.4,254,3,1.1,58.1,0.8,0.4,184,24,2.6,-,-,-,-,0,-,96,0.15,-,0,0,100
882,TUNGGAL/SINGLE,,,susu,single,,,,,,,,,,,,,,,,,,,,,,
883,JR001,"Kepala susu - krim,
segar",DABM-1964,susu,single,72.5,204,2.6,20,4,0,0.9,97,77,0.1,,,,,252,191,,0.03,0.2,0.1,1,100
884,JR002,Susu ibu - ASI,FCTEA-1972,susu,single,88.1,62,1.5,3.2,7,0,0.2,34,20,0.2,15,41,0.01,0.4,,7,,0.01,0.03,0.2,,100
885,JR003,"Susu kambing, segar",DABM-1964,susu,single,85.9,64,4.3,2.3,6.6,0,0.9,98,78,2.7,35,160,0.33,0.1,38,0,,0.06,0.45,0.3,1,100
886,JR004,"Susu kerbau, segar",DABM-1964,susu,single,73.8,160,6.3,12,7.1,,0.8,216,101,0.2,82,,,0.3,24,,,0.04,0.07,,1,100
887,JR005,"Susu kuda, segar",FCTEA-1972,susu,single,91,40,2,1.1,5.4,0,0.4,,,,,37.4,0,0,,1,,0,0.2,0.2,,100
888,JR006,"Susu sapi, segar",DABM-1964,susu,single,88.3,61,3.2,3.5,4.3,0,0.7,143,60,1.7,36,149,0.02,0.3,39,12,,0.03,0.18,0.2,1,100
889,OLAHAN/PRODUK/KOMPOSIT,,,susu,processed food,,,,,,,,,,,,,,,,,,,,,,
890,JP001,Es krim,DABM-1964,camilan,processed food,62.1,210,4,12.5,20.6,0,0.8,123,99,0.1,78,193.4,0,0.7,158,0,,0.04,0.23,0.1,1,100
891,JP002,Hangop,DABM-1964,susu,processed food,84,65,10,1,3.5,0,1.5,180,190,0.2,126,374.4,0,,,22,,0.03,0.43,0.2,,100
892,JP003,Keju,DABM-1964,susu,processed food,38.5,326,22.8,20.3,13.1,0,5.3,777,338,1.5,1410,82.7,0.03,3.1,227,128,,0.01,0.37,0.1,1,100
893,JP004,Kwark (Quark),DABM-1964,susu,processed food,59,242,19,17,3,0,2,300,350,0.5,37,72.7,0.01,0.2,173,0,,0.03,0.38,0,,100
894,JP005,"Susu asam untuk bayi,
bubuk",DABM-1964,susu,processed food,2.5,418,19,9,65.5,0,4,800,600,7,188,486.5,0,0,303,83,,1,1.31,0.7,30,100
895,JP006,Susu bubuk,DABM-1964,susu,processed food,3.5,513,24.6,30,36.2,0,5.7,904,694,0.6,380,1330,0.02,4.1,476,118,,0.29,1.39,1.6,6,100
896,JP007,Susu kental manis,DABM-1964,susu,processed food,25,343,8.2,10,55,0,1.8,275,209,0.2,150,320,0.02,1,155,46,,0.05,0.43,0.4,1,100
897,JP008,Susu kental tak manis,DABM-1964,susu,processed food,73.7,138,7,7.9,9.9,,1.5,243,195,0.2,140,303,,,121,,,0.05,,0,1,100
898,JP009,"Susu skim, bubuk",DABM-1964,susu,processed food,3.5,359,35.6,1,52,0,7.9,1300,1030,0.6,470,1745,0.04,4.1,,10,,0.35,1.05,1.2,7,100
899,JP010,"Susu skim, segar",DABM-1964,susu,processed food,90.5,36,3.5,0.1,5.1,,0.8,123,97,0.1,38,,,,0,,,0.04,,,1,100
900,JP011,"Yoghurt, segar",DABM-1964,susu,processed food,88,52,3.3,2.5,4,0,2.2,120,90,0.1,40,299,0.01,0.6,22,10,,0.04,0.1,0.2,0,100
901,TUNGGAL/SINGLE,,,telur,single,,,,,,,,,,,,,,,,,,,,,,
902,HR001,"Telur ayam kampung,
segar",KZGMI-2001,telur,single,73.1,174,10.8,14,1.2,0,0.9,68,268,4.9,190,141,0.6,1.5,203,23,125,0.78,0.62,0.2,,87
903,HR002,"Telur ayam ras, segar",KZGPI-1990,telur,single,74.3,154,12.4,10.8,0.7,0,0.8,86,258,3,142,118.5,0.16,1,61,22,104,0.12,0.38,0.2,0,89
904,HR003,"Telur ayam ras, bagian
kuning, segar",DABM-1964,telur,single,49.4,355,16.3,31.9,0.7,0,1.7,147,586,7.2,111,107.5,0.2,2.5,606,63,,0.27,0.51,0.2,0,100
905,HR004,"Telur aAyam ras,
bagian putih, segar",DABM-1964,telur,single,87.8,50,10.8,0,0.8,0,0.6,6,17,0.2,164,138.5,0.03,0.4,0,0,,0,0.26,0.4,0,100
906,HR005,"Telur bebek alabio,
segar",KZGMI-2001,telur,single,70,187,11.8,14.2,3,0,1,60,268,6,115,80,0.6,1.7,180,437,,1.55,0.37,0.1,,90
907,HR006,"Telur bebek, bagian
kuning, segar",DABM-1964,telur,single,47,386,17,35,0.8,0,0.2,150,400,7,106,90.7,0.09,2.5,870,747,,0.6,0.68,1.4,0,100
908,HR007,"Telur bebek, bagian
putih, segar",DABM-1964,telur,single,88,54,11,0,0.8,0,0.2,21,20,0.1,184,150.2,0.13,0.1,0,0,,0.01,0.02,0.1,0,100
909,HR008,"Telur bebek tambak,
segar",KZGMI-2001,telur,single,67.7,187,10.9,12.4,7.9,0,1.1,64,295,5.4,209,146,0.4,1.8,378,471,375,1.62,0.03,0.1,,90
910,HR009,"Telur burung maleo,
segar",KZGMI-2001,telur,single,36,436,26.5,36.3,0.4,,0.8,154,120,4.3,77,333,0.4,2.9,3987,,,,1,0.2,,
911,HR010,"Telur penyu, segar",KZGMI-2001,telur,single,7.4,136,8.6,10.1,2.7,0,1.2,66,282,3.4,478,115,0.5,1.4,82,17,,0.21,0.02,0,0,90
912,HR011,"Telur burung puyuh,
segar",FCTEA-1972,telur,single,79.8,116,10.7,7,1.6,0,0.9,65,191,3.5,111,11,0.05,1.2,95,80,,0.13,0.65,0.1,0,100
913,OLAHAN/PRODUK/KOMPOSIT,,,telur,processed food,,,,,,,,,,,,,,,,,,,,,,
914,HP001,"Telur ayam, dadar,
masakan",KZGPI-1990,telur,processed food,61.9,251,16.3,19.4,1.4,0,1,62,250,2.5,,,,,36,,221,0.21,0,,0,100
916,HP003,"Telur bebek, dadar,
masakan",KZGPI-1990,telur,processed food,55.1,301,20,23.7,0,0,1.2,71,600,9.2,,,,,122,,613,0.35,,,0,100
918,HP005,"Bayau mi balu,
masakan",KGZMI-2001,telur,processed food,36.1,313,6,12.2,44.8,,0.9,,,,,,,,783,89,,0.14,0.27,9.7,,100
919,HP006,"Cucuru bayau,
masakan",KGZMI-2001,telur,processed food,35,349,6.8,18.7,38.3,,1.2,,,,,,,,,123,,0.06,0.25,0,,100
920,HP007,"Kalio telur, masakan",KZGMS-1993,telur,processed food,79,193,10.6,12.4,9.7,,1.4,148,246,3.8,540,,,,160,,3600,0.44,,,0,100
921,TUNGGAL/SINGLE,,,umbi berpati,single,,,,,,,,,,,,,,,,,,,,,,
922,BR001,"Arrowroot, segar",KZGPI- 1990,umbi berpati,single,73.5,102,1,0.2,24.1,1.7,1.2,28,35,1.7,36,626.6,0.2,0.8,0,15,0,0.06,0.1,2.3,2,100
923,BR002,"Batatas gembili, segar",KZGMI-2001,umbi berpati,single,76.7,76,1.1,0.9,16,4.2,0.7,0,40,0.2,10,200,0.2,0.3,0,0,0,0.06,0,0.9,0,85
924,BR003,"Batatas kelapa, ubi,
segar",KZGMI-2001,umbi berpati,single,76.1,89,1.1,0.1,21,4,0.7,0,40,0.2,20,340,0.1,0.2,0,0,0,0.38,0,0.9,0,85
925,BR004,"Belitung, talas, segar",KZGPI- 1990,umbi berpati,single,63.1,145,1.2,0.4,34.2,1.5,1.1,26,54,1.4,6,536.1,0.2,0.9,0,0,0,0.1,0.1,2.3,2,85
