KODE,NAMA BAHAN,SUMBER,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),
TUNGGAL/SINGLE,,,,,,,,,,,,,,,,,,,,,,,,
BR001,"Arrowroot, segar",KZGPI- 1990,73.5,102,1,0.2,24.1,1.7,1.2,28,35,1.7,36,626.6,0.2,0.8,0,15,0,0.06,0.1,2.3,2,100
BR002,"Batatas gembili, segar",KZGMI-2001,76.7,76,1.1,0.9,16,4.2,0.7,0,40,0.2,10,200,0.2,0.3,0,0,0,0.06,0,0.9,0,85
BR003,"Batatas kelapa, ubi,
segar",KZGMI-2001,76.1,89,1.1,0.1,21,4,0.7,0,40,0.2,20,340,0.1,0.2,0,0,0,0.38,0,0.9,0,85
BR004,"Belitung, talas, segar",KZGPI- 1990,63.1,145,1.2,0.4,34.2,1.5,1.1,26,54,1.4,6,536.1,0.2,0.9,0,0,0,0.1,0.1,2.3,2,85
BR005,"Bengkuang, segar",DABM- 1964,85.1,59,1.4,0.2,12.8,1,0.5,15,18,0.6,2,244.3,0.1,0.3,,0,,0.04,0.1,0.2,20,84
BR006,"Bentul (Komba), talas,
segar",KZGPI- 1990,75.8,98,1.6,0.7,20.9,0.7,1.8,44,66,1.5,,195.5,0.2,0.6,0,0,0,0.02,0.1,0.8,0,86
BR007,"Gadeng/Gadung,
kering",KZGMI-2001,20.2,322,2.4,0.6,76.6,,0.2,39,22,2.2,5,2,0.5,0.2,0,0,0,0.45,0.02,1,0,100
BR008,"Gadung, ubi, segar",KZGPI- 1990,74.4,100,0.9,0.3,23.5,2.1,0.9,79,66,0.9,8,687.2,0.2,0.2,0,0,0,0.23,0,0.5,2,85
BR009,"Ganyong, segar",KZGPI- 1990,79.9,77,0.6,0.2,18.4,0.8,0.9,15,67,1,,,,,0,0,0,0.1,,,9,65
BR010,"Gembili, ubi, segar",KZGPI- 1990,66.4,131,1.1,0.2,31.3,1.1,1,14,56,0.6,10,200,0.2,0.3,0,0,0,0.08,0,0.9,4,85
BR011,"Hofa/Ubi hutan, segar",KZGMI-2001,67.9,127,1.2,0.5,29.5,3.4,0.9,30,8,0.7,3,4,0.1,0.2,0,0,0,0.3,0.05,0.6,0,85
BR012,"Kaburan, ubi, segar",KZGPI- 1990,66.5,133,1,0.2,32.2,0.7,0.5,65,50,0.6,10,899.2,0.2,0.2,0,0,0,0.01,0,0.3,0,81
BR013,"Kentang, segar",KZGPI- 1990,83.4,62,2.1,0.2,13.5,0.5,0.8,63,58,0.7,7,396,0.4,0.3,0,0,0,0.09,0.1,1,21,85
BR014,"Kentang hitam, segar",DABM- 1964,64,142,0.9,0.4,33.7,5.4,1,34,75,0.2,22,890.3,0.9,0.6,,0,,0.02,0.1,2.2,38,75
BR015,"Keribang, ubi, segar",KZGPI- 1990,67,137,1.3,1.1,29.8,0.6,0.8,45,56,0.8,10,885.8,0.2,0.3,0,0,0,0,0,0.7,0,83
BR016,"Ketela pohon/
singkong, segar",KZGPI- 1990,61.4,154,1,0.3,36.8,0.9,0.5,77,24,1.1,2,394,0.3,0.4,0,0,0,0.06,0.1,0.5,31,85
BR017,Lepok/Ubi rumput,KZGMI-2001,55.3,181,2.8,1.2,39.8,10.7,0.9,7,50,3.1,116,306,1.6,0.9,0,0,0,0.28,0.05,1.5,0,85
BR018,"Sagu aren, kering",KZGPI- 1990,11.9,355,0.6,1.1,85.6,0.3,0.8,91,167,2.2,2,200,0,0.3,,,0,0.04,0.1,0.5,0,100
BR019,"Sagu aren, segar",KZGMI-2001,42.5,231,0.6,0.2,56.6,3.2,0.1,20,20,0.1,7,0,0.1,0.1,0,,0,0.2,0,0,0,100
BR020,Sagu kasbi segar,KZGMI-2001,42.5,230,0.6,0.2,56.5,3,0.2,20,1,0.3,100,410,0.1,0.2,0,0,0,0.1,0,0,0,100
BR021,Sagu lempeng,KZGMI-2001,13.5,347,0.9,0.3,85.2,4.7,0.1,30,30,0.2,11,0,0.1,0.1,0,0,,0.3,0,0,0,100
BR022,"Sagu singkong, kering",DABM- 1964,12,362,0.5,0.3,86.9,,0.3,0,0,0,,,,,,0,0,0,,,0,100
BR023,"Sente, talas, segar",DABM- 1964,14,353,0.7,0.2,84.7,6.6,0.4,11,13,1.5,30,694.6,0.6,2.2,,41,,0.05,0.2,2.8,5,86
BR024,"Suweg, talas, segar",KZGPI- 1990,80.1,74,1.4,0.1,17.2,1.4,1.2,42,46,1.3,7,400,0.1,0.1,0,24,254,0.04,0,0.4,2,86
BR025,"Talas bogor, segar",KZGPI- 1990,72.4,108,1.4,0.4,25,0.9,0.8,47,67,0.7,10,448,0.2,0.7,0,0,0,0.06,0.07,1,4,85
BR026,"Talas pontianak, segar",KZGPI- 1990,60,163,2.3,0.5,36.4,0.7,0.9,45,80,1.7,14,323.1,0.3,1,0,0,0,0.02,0.1,1.3,,83
BR027,"Talas viqueque, segar",KZGMI-2001,70.6,115,1.8,0.5,25.9,8.6,1.2,50,220,0.9,1,70,0.3,1,0,0,0,0.08,0.1,0.9,,85
BR028,"Ubi jalar, kuning, segar",KZGMI-2001,72.6,119,0.5,0.4,25.1,4.2,1,30,40,0.4,3,1,0.1,0.2,0,794,4948,0.06,0.07,0.7,21,85
BR029,"Ubi jalar manis, segar",KZGPI- 1990,78.4,83,1.5,0.2,18.8,0.6,1.1,27,162,2.1,52,320.7,0.1,0.3,0,0,0,0.02,0,0.4,0,85
BR030,"Ubi jalar merah, segar",KZGPI- 1990,61.9,151,1.6,0.3,35.4,0.7,0.6,29,74,0.7,92,565.6,0.3,0.5,0,0,1208,0.13,0.08,0.7,11,86
BR031,"Ubi jalar putih, segar",KZGMI-2001,77.8,88,0.4,0.4,20.6,4,0.8,30,10,0.5,2,4,0.1,0.2,0,13,264,0.25,0.06,0.5,36,86
BR032,"Ubi jalar tinta/
kemayung",KZGMI-2001,72.5,108,0.5,0.4,25.6,4.2,1,30,40,0.5,1,1,0.1,0.2,0,13,0,0.09,0.06,0.6,24,85
BR033,"Umbi Uwi, segar",BKP,69.7,120,2.8,0.5,82.3,2.6,0.9,9,42,1.3,12,412,0.3,0.6,,0,0,0.02,0.5,0.2,4,86
OLAHAN/PRODUK/KOMPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
BP001,"Batatas kelapa, ubi,
bakar",KZGMI-2001,73.2,110,1.4,1.1,23.4,4.5,0.7,1,46,0.2,12,230,0.2,0.3,0,0,0,1.13,0,0,0,85
BP002,"Batatas kelapa, ubi,
kukus",KZGMI-2001,75.7,92,1.2,0.3,21,4.1,1.8,0,42,0.2,10,209,0.2,0.3,0,0,0,0.28,0,0.7,0,100
BP003,"Batatas tali, ubi, rebus",KZGMI-2001,53.2,182,2.4,0.4,42.2,9.2,1.8,1,80,0.3,20,402,0.3,0.6,0,0,0,0.27,0,1.3,0,100
BP004,"Belitung, talas, kukus",KZGPI- 1990,63.1,145,1.2,0.4,34.2,1,1.1,21,48,0.9,7,552.6,0.2,0.9,0,0,0,0.08,0.1,2.3,1,100
BP005,"Bentul, talas, kukus",KZGPI- 1990,81.1,71,2.3,0.3,15.4,0.5,0.9,29,26,0.6,,201,0.2,0.6,0,0,0,0.06,0,0,21,100
BP006,"Gadung, ubi, kukus",KZGPI- 1990,77.4,88,0.6,0.3,20.9,0.9,0.8,26,47,0.4,6,584,0.2,0.2,0,0,0,0.03,0,0.4,0,100
BP007,"Ganyong, rebus",KZGPI- 1990,74.1,100,0.8,0.2,23.8,0.9,1.1,15,65,0.9,,,,,0,0,0,0.04,,,6,100
BP008,"Ketela pohon/
singkong kukus",KZGPI- 1990,61.5,153,1.2,0.3,36.4,1.3,0.6,56,22,0.4,2,345.3,0.3,0.1,0,0,0,0,0,0.3,20,100
BP009,"Suweg, talas, kukus",KZGPI- 1990,75.5,93,1.5,0.1,21.9,0.9,1,50,58,0.8,6,350.3,0.1,0.1,0,0,283,0.09,0,0.3,0,100
BP010,"Talas bogor, kukus",KZGPI- 1990,69.2,120,1.5,0.3,28.2,0.7,0.8,31,63,0.7,11,498,0.2,0.6,0,0,0,0.05,0.6,0.8,2,100
BP011,"Ubi jalar, kuning,
kukus",KZGPI- 1990,74.2,100,0.7,0.3,23.8,1,1,44,46,0.4,3,0.8,0.1,0.2,0,819,4427,0,0.1,0.6,16,100
BP012,"Ubi jalar tinta/
kemayung kukus",KZGPI- 1990,58.5,165,0.9,0.2,39.8,1.1,0.6,20,23,0.8,1,0.9,0.1,0.2,0,0,0,0.02,0.1,0.5,0,100
BP013,Bagea kelapa asin,KZGMI-2001,3.5,450,3.2,13.9,78.1,,1.3,38,38,0.3,74,0,0.2,0.2,0,0,0,0.3,0,0,0,100
BP014,Bagea kelapa manis,KZGMI-2001,3,452,1.3,13.8,80.6,,1.3,38,39,0.3,75,0,0.2,0.2,0,0,0.3,0,0,0,0,100
