KODE,NAMA BAHAN,SUMBER,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),
FR030,"Sapi, keleponan, segar",KZGMI-2001,83.8,84,10.5,4.6,0.2,0,0.9,20,13,2.1,73,318,0.2,1.7,857,34,,0.1,0.14,0.3,,100
FR031,"Sapi, liver, segar",DABM-1964,69.7,132,19.7,3.2,6,0,1.4,7,358,6.6,110,213,0.51,2.3,13303,355,,0.26,1.52,11.4,31,100
FR032,"Sapi, otak, segar",DABM-1964,78.9,123,10.4,8.6,0.8,0,1.3,16,330,3.6,112,243.8,0.26,0.9,0,0,,0.23,0.19,3.9,18,100
FR033,"Sapi, usus, segar",DABM-1964,76.7,126,14,7.2,1.5,0,0.6,14,115,4,,,,,61,0,,0.08,0.33,0.2,0,100
FR034,Ulat sagu segar,KZGMI-2001,65.9,241,5.8,21.6,5.8,2.8,0.9,20,70,0.5,210,210,1,7.7,,0,,0.17,1.45,0.1,,100
OLAHAN/PRODUK/KOMPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
FP001,"Ayam, ampela, goreng","KZGMS-
1993",4.8,270,32.3,11.2,9.9,0,1.8,129,314,4.9,980,,0.12,3.3,56,,0,0.21,,4.72,0,100
FP002,"Ayam, usus, goreng",KZGPI-1990,4.6,473,45.2,26.3,13.9,0,10.1,1407,458,8.4,,,,,6,,224,0.57,,0,,100
FP003,"Bebek, daging, goreng",KZGMI-2001,48.8,300,24,20.7,4.5,0,2,170,170,4.1,34,6,0.4,3,,0,,0.1,0.4,10.6,,100
FP004,"Buaya, daging,
dendeng, mentah",KZGMI-2001,12.3,365,49.6,4.8,30.8,,2.5,60,130,4.3,500,680,0.2,11.6,,0,,,,0.2,,100
FP005,Ham,DABM-1964,42,384,16.9,35,0.3,0,5.8,10,136,2.5,112,819.3,0.11,0.4,0,,,0.7,0.95,9.7,0,100
FP006,"Itik alabio, daging,
dendeng, mentah",KZGMI-2001,12.7,496,30.3,33.5,18.4,,5.1,135,370,12.5,1081,478,0.7,0.3,,0,,,,,,100
FP007,Kerupuk urat,KZGMI-2001,3.6,588,53.7,40.9,1.2,,0.6,36,15,1.3,1024,37,0.1,0.2,2802,,,,,,,100
FP008,"Menjangan, daging,
dendeng, mentah",KZGMI-2001,14.3,322,55.8,2,22.7,,5.3,55,310,2.1,765,1282,1.7,3.2,3391,26,,,,,,100
FP009,"Punai, daging, goreng",KZGMI-2001,54.5,224,26.2,11.3,4.4,,3.6,362,362,3.1,2,19,0.3,1.6,,,,,,,,100
FP010,"Rusa, daging,
dendeng, mentah",KZGMI-2001,18.3,536,40.5,41.5,0,,2.5,90,420,13.4,130,690,0.3,10.7,285,,,,,0.2,,100
FP011,"Sapi, abon",KZGPI-1990,7.1,212,18,10.6,59.3,7.5,4.7,150,209,12.3,,,,,0,240,138,0.17,,,0,100
FP012,"Sapi, abon, asli",KZGPI-1990,24.8,358,14.6,16.1,38.6,2.5,5.8,165,136,14.6,,,,,3,194,144,0.13,,,0,100
FP013,"Sapi, daging, asap",DABM-1964,60,182,32,6,0,0,2,15,300,5,1620,485.4,0.03,5.1,6,,,0.12,0.23,5.9,0,100
FP014,"Sapi, daging, dendeng,
mentah",DABM-1964,25,301,55,9,0,,11,30,370,5.1,,,,,0,,,0.1,,,0,100
FP015,"Sapi, daging, kornet",DABM-1964,53,289,16,25,0,0,6,10,170,4,794,94.4,0.07,4,0,52,,0.01,0.16,2.7,0,100
FP016,"Sapi, daging, sosis
(Worst)",DABM-1964,37.6,448,14.5,42.3,2.3,,3.3,28,61,1.1,765,284.5,0.06,1.7,0,,,0.1,0.18,4.9,0,100
FP017,"Sapi, hati, sosis
(liverworst)",DABM-1964,56.6,274,16,22,3,2.3,2.4,20,150,4,654,158.8,0.22,2.2,1201,,,0.2,0.96,4,0,100
