,KODE,NAMA BAHAN,SUMBER,Food Group,Type,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),Unnamed: 24
230,ER092,Pisang tujuh bulan,KZGMI-2001,buah,single,75.9,94.0,0.6,0.2,22.5,3.7,0.8,50.0,20.0,0.2,0.0,4.0,0.1,0.4,0.0,72.0,,0.03,0.03,0.3,6,75.0
231,ER093,"Pisang ua, segar",KZGMI-2001,buah,single,67.8,128.0,0.8,0.5,30.2,8.1,0.7,12.0,28.0,0.7,33.0,382.0,0.2,0.3,,5.0,,0.09,0.01,1.2,4,75.0
232,ER094,"Pisang uli, segar",KZGPI- 1990,buah,single,61.8,134.0,1.1,0.5,35.5,1.4,1.1,31.0,53.0,0.9,39.0,650.3,0.3,0.7,,59.0,113.0,0.11,0.16,1.4,3,77.0
233,ER095,"Purut, segar",KZGPI- 1990,buah,single,81.1,76.0,4.1,1.1,15.2,1.7,1.4,30.0,76.0,0.6,10.0,285.2,,,,27.0,93.0,0.01,0.11,0.0,0,34.0
234,ER096,"Rambutan binjai,
segar",KZGMI-2001,buah,single,81.0,76.0,0.5,0.2,18.0,3.8,0.3,15.0,22.0,1.2,22.0,120.0,0.2,0.2,,0.0,,0.19,0.01,0.4,13,40.0
235,ER097,"Rambutan, segar",DABM-1964,buah,single,80.5,69.0,0.9,0.1,18.1,0.8,0.4,16.0,16.0,0.5,16.0,104.2,0.2,0.1,,0.0,0.0,0.0,0.07,0.5,58,40.0
236,ER098,"Salak bali, segar",KZGPI- 1990,buah,single,85.1,57.0,0.5,0.1,13.6,1.3,0.7,94.0,25.0,2.1,,,0.1,0.2,0.0,3.0,37.0,0.0,,,0,93.0
237,ER099,"Salak medan, segar",KZGMI-2001,buah,single,78.1,55.0,0.4,0.2,12.8,3.2,8.5,6.0,46.0,0.5,39.0,113.0,0.2,0.3,0.0,4.0,,0.04,0.03,,58,93.0
238,ER100,"Salak pondoh, segar",KZGPI- 1990,buah,single,77.9,87.0,0.8,0.4,20.1,0.0,0.8,38.0,31.0,3.9,,,0.1,0.2,0.0,,40.0,0.0,0.12,0.1,8,59.0
239,ER101,"Salak, segar",DABM-1964,buah,single,78.0,77.0,0.4,,20.9,,0.7,28.0,18.0,4.2,,,0.1,0.2,,4.0,0.0,0.04,,,2,93.0
240,ER102,"Sawo duren, segar",KZGPI- 1990,buah,single,87.3,64.0,1.0,3.1,8.0,0.8,0.6,18.0,45.0,0.8,13.0,111.4,0.0,0.1,0.0,0.0,0.0,0.01,0.02,0.1,1,64.0
241,ER103,"Sawo kecik, segar",KZGPI- 1990,buah,single,73.8,111.0,0.9,2.3,21.6,1.0,1.4,20.0,185.0,0.7,28.0,117.8,0.0,0.1,0.0,119.0,12.0,0.0,0.04,1.5,19,83.0
242,ER104,"Sawo Manila, segar",DABM-1964,buah,single,75.5,92.0,0.5,1.1,22.4,9.5,0.5,25.0,12.0,1.0,26.0,110.2,0.0,0.1,0.0,111.0,60.0,0.01,0.04,1.4,21,79.0
243,ER105,"Semangka, segar",DABM-1964,buah,single,92.1,28.0,0.5,0.2,6.9,0.4,0.3,7.0,12.0,0.2,7.0,93.8,0.0,0.1,,315.0,590.0,0.05,0.05,0.3,6,46.0
244,ER106,"Sirsak, segar",DABM-1964,buah,single,81.7,65.0,1.0,0.3,16.3,3.2,0.7,14.0,27.0,0.6,2.0,298.9,0.1,1.0,,8.0,10.0,0.07,0.08,0.7,20,68.0
245,ER107,"Sowa, segar",KZGMI-2001,buah,single,87.7,48.0,1.6,0.6,9.1,45.0,10.0,50.0,40.0,0.3,9.0,0.0,0.1,1.5,0.0,364.0,,0.15,0.23,0.2,4,
246,ER108,"Srikaya, segar",KZGPI- 1990,buah,single,83.4,63.0,1.1,0.5,13.9,2.1,1.1,127.0,30.0,2.7,,,,,0.0,,31.0,0.08,,,28,48.0
247,ER109,"Sukun muda, segar",KZGPI- 1990,buah,single,69.4,119.0,1.4,0.2,28.1,1.4,1.0,24.0,44.0,1.4,24.0,414.4,0.1,0.1,,28.0,4896.0,0.17,0.17,3.7,52,84.0
248,ER110,"Sukun tua, segar",KZGPI- 1990,buah,single,67.8,126.0,1.6,0.2,24.5,1.5,1.0,37.0,47.0,1.6,25.0,436.0,0.1,0.1,,30.0,2000.0,0.18,0.17,3.9,58,88.0
249,ER111,"Vigus, segar",KZGMI-2001,buah,single,88.0,44.0,2.4,0.1,8.3,,1.2,30.0,20.0,0.3,2.0,180.0,0.1,0.2,,,,0.26,0.01,,43,
250,ER112,"Wani, segar",KZGPI- 1990,buah,single,81.2,74.0,0.8,0.3,17.1,3.1,0.6,66.0,29.0,1.2,,,,,,,32.0,0.08,,,80,77.0
251,OLAHAN/PRODUK/KOMPOSIT,,,buah,processed food,,,,,,,,,,,,,,,,,,,,,,
252,EP001,Barongko,KZGMI-2001,buah,processed food,66.7,159.0,3.1,5.8,23.5,,0.7,35.0,65.0,1.2,46.0,78.0,0.3,0.6,,,,,,,,100.0
253,EP002,Dodol nanas,KZGMI-2001,buah,processed food,16.1,338.0,1.5,1.2,80.3,,0.9,,,,,,,,,,,0.3,,,8,100.0
254,EP003,Getuk pisang,KZGPI- 1990,buah,processed food,63.7,144.0,1.1,0.4,34.1,0.4,0.7,48.0,32.0,1.0,,,,,,,1240.0,0.55,,,0,100.0
255,EP004,Keripik lampung,KZGPI- 1990,buah,processed food,5.0,485.0,1.7,"22.
2",69.7,0.6,1.5,43.0,65.0,0.8,,,,,,,1464.0,0.34,,,0,100.0
256,EP005,Ledre pisang,KZGPI- 1990,buah,processed food,3.6,405.0,4.8,5.1,84.9,0.4,1.6,59.0,124.0,2.6,,,,,,4.0,7330.0,0.41,,,0,100.0
257,EP006,Lempog durian,KZGPI- 1990,buah,processed food,25.2,320.0,3.5,5.7,63.7,4.9,1.9,190.0,93.0,2.5,,,,,,,,0.05,0.04,,,100.0
258,EP007,Loka anjoro,KZGMI-2001,buah,processed food,63.3,163.0,1.1,4.3,30.0,,1.3,,,,,,,,,,,,,,,100.0
259,EP008,Rica-rica taipa,KZGMI-2001,buah,processed food,86.7,49.0,1.6,0.3,10.0,,1.4,11.0,48.0,3.0,426.0,42.0,0.5,0.5,,13.0,,0.18,,,15,100.0
260,EP009,Rujak aceh,KZGMI-2001,buah,processed food,78.7,82.0,0.4,0.3,19.7,2.4,0.9,,,,,,,,,10.0,,0.22,0.03,,42,100.0
261,EP010,Sale kesemek,KZGMI-2001,buah,processed food,25.0,296.0,1.1,0.6,71.4,,1.8,,,,,,,,,,,,,,3,100.0
262,EP011,Sale pisang siam,KZGPI- 1990,buah,processed food,28.9,281.0,2.4,0.7,66.1,1.0,2.0,41.0,64.0,1.2,,,,,,,272.0,0.1,,,0,100.0
263,EP012,"Sale pisang, cilacap",KZGPI- 1990,buah,processed food,27.1,295.0,2.3,2.1,66.9,1.3,1.7,47.0,97.0,2.8,,,,,,,296.0,0.14,,,,100.0
264,EP013,Sanggara belanda,KZGMI-2001,buah,processed food,47.1,242.0,6.4,7.1,38.2,,1.2,,,,,,,,,,,,,,,100.0
265,EP014,Tepung Pisang,BKP,buah,processed food,13.8,338.0,2.9,0.4,80.6,5.3,2.1,23.0,62.0,4.0,18.0,734.0,0.1,0.5,,13.0,1.0,0.02,0.02,1.0,2,100.0
266,EP015,Tepung Sukun,BKP,buah,processed food,10.1,353.0,2.9,0.5,84.4,3.7,2.1,100.0,85.0,4.6,9.0,2008.0,0.1,0.6,,0.0,0.0,0.4,0.02,0.1,3,100.0
267,TUNGGAL/SINGLE,,,bumbu,single,,,,,,,,,,,,,,,,,,,,,,
268,NR001,"Asam arang coklat,
segar",KZGPI- 1990,bumbu,single,66.1,130.0,0.5,1.1,30.9,1.5,1.4,79.0,113.0,4.3,13,,0.0,,,745,0,0.01,0.2,0.0,0.0,
269,NR002,"Asam arang merah,
segar",KZGPI- 1990,bumbu,single,75.9,99.0,0.8,1.6,20.3,2.8,1.4,69.0,300.0,4.6,2,96.0,0.0,0.1,,529,0,0.01,0.34,1.6,0.0,
270,NR003,"Asan kandis, kering",KZGPI- 1990,bumbu,single,32.2,261.0,0.9,1.6,63.3,5.0,2.0,192.0,657.0,4.4,26,341.0,0.4,0.3,,0,0,0,0.0,0.4,0.0,100.0
271,NR004,"Asam kandis, segar",KZGPI- 1990,bumbu,single,81.5,75.0,0.2,1.1,16.1,3.4,1.1,63.0,139.0,2.5,93,93.0,0.1,0.1,,41,0,0.01,0.0,0.1,0.0,
272,NR005,"Asam masak pohon,
segar",DABM-1964,bumbu,single,31.4,267.0,2.8,0.6,62.5,1.2,2.7,74.0,113.0,0.6,9,139.0,0.09,0.1,,9,30,0.34,0.04,0.7,2.0,48.0
273,NR006,"Asam payak, segar",KZGPI- 1990,bumbu,single,65.1,135.0,0.8,0.4,32.1,10.0,1.6,60.0,39.0,5.7,0,,,,,,0,0,,,0.0,
274,NR007,"Bawang merah, segar",DABM-1964,bumbu,single,88.0,46.0,1.5,0.3,9.2,1.7,1.0,36.0,40.0,0.8,7,179.0,0.06,0.2,,2,,0.03,0.04,0.2,2.0,90.0
275,NR008,"Bawang putih, segar",DABM-1964,bumbu,single,71.0,112.0,4.5,0.2,23.1,0.6,1.8,42.0,134.0,1.0,46,666.0,0.09,0.4,,0,,0.22,0.07,0.3,15.0,88.0
276,NR009,"Boros kunci, segar",DABM-1964,bumbu,single,90.0,40.0,1.0,0.8,7.2,1.0,1.0,50.0,50.0,2.0,33,480.0,0.02,0.3,,0,5000,0.08,0.68,1.7,50.0,80.0
277,NR010,"Boros laja (lengkuas),
segar",DABM-1964,bumbu,single,93.0,26.0,1.0,0.3,4.7,1.1,1.0,50.0,50.0,2.0,24,137.0,0.07,0.3,,5,5000,0.08,0.06,0.3,50.0,80.0
278,NR011,"Cabai gembor merah,
segar",KZGPI- 1990,bumbu,single,90.8,38.0,1.6,0.8,6.3,1.6,0.6,49.0,41.0,1.1,7,275.0,0.12,0.2,,5897,3240,0.21,0.12,0.0,16.0,89.0
279,NR012,"Cabai hijau, segar",DABM-1964,bumbu,single,93.4,26.0,0.7,0.3,5.2,2.6,0.4,14.0,23.0,0.4,7,151.0,0.08,0.2,,44,260,0.05,0.06,0.4,84.0,82.0
280,NR013,"Cabai merah, kering",DABM-1964,bumbu,single,10.0,367.0,15.9,6.2,61.8,26.9,6.1,160.0,370.0,2.3,25,181.5,1.2,1.8,,"1095
5",576,0.4,1.36,4.4,50.0,85.0
281,NR014,"Cabai merah, segar",DABM-1964,bumbu,single,90.9,36.0,1.0,0.3,7.3,1.4,0.5,29.0,24.0,0.5,23,272.4,0.12,0.2,,5833,470,0.05,0.09,3.0,18.0,85.0
282,NR015,"Cabai rawit, segar",DABM-1964,bumbu,single,71.2,120.0,4.7,2.4,19.9,15.2,1.8,45.0,85.0,2.5,34,706.2,0.29,0.6,,1694,"1105
0",0.24,0.09,1.7,70.0,85.0
283,NR016,"Cengkeh, kering",DABM-1964,bumbu,single,23.3,330.0,5.2,8.9,57.4,10.0,5.2,740.0,100.0,4.9,282,961.0,0.3,0.0,,265,,"200.
00",0.0,0.0,,100.0
284,NR017,"Daun salam,  bubuk",FCTEA-1972,bumbu,single,13.1,301.0,14.2,10.9,49.0,9.4,12.8,86.0,250.0,44.1,180,619.0,1.31,0.7,0.0,5400,,0.1,0.32,5.0,0.0,100.0
285,NR018,"Jahe, segar",DABM-1964,bumbu,single,55.0,51.0,1.5,1.0,10.1,12.0,1.2,21.0,39.0,1.6,12,441.7,0.48,0.7,,0,9,0.02,0.17,3.3,4.0,97.0
286,NR019,Kemiri,DABM-1964,bumbu,single,7.0,675.0,19.0,63.0,8.0,3.0,3.0,80.0,200.0,2.0,25,430.7,0.23,0.8,,0,0,0.06,0.06,0.4,0.0,100.0
287,NR020,"Ketumbar, kering",DABM-1964,bumbu,single,11.2,418.0,14.1,16.1,54.2,12.3,4.4,630.0,370.0,17.9,91,1787.0,0.95,4.6,,75,1570,0.2,0.35,1.8,0.0,100.0
288,NR021,Kluwek,DABM-1964,bumbu,single,51.0,310.0,10.0,24.0,13.5,,1.5,40.0,100.0,2.0,,,,,,,0,0.15,,,30.0,80.0
289,NR022,"Kunyit, segar",DABM-1964,bumbu,single,84.9,69.0,2.0,2.7,9.1,0.6,1.3,24.0,78.0,3.3,6,406.7,0.05,0.4,,12,,0.03,0.02,0.4,1.0,78.0
290,NR023,"Merica, kering",DABM-1964,bumbu,single,12.9,365.0,11.5,6.8,64.4,1.0,4.4,460.0,200.0,16.4,4,99.7,0.89,1.1,,0,,0.2,0.1,2.5,,100.0
291,NR024,"Pala, biji, kering",DABM-1964,bumbu,single,14.3,518.0,7.5,36.4,40.1,3.5,1.7,120.0,240.0,4.6,2,78.7,0.94,2.0,,7,,0.2,0.02,0.5,0.0,95.0
292,OLAHAN/PRODUK/KOMPOSIT,,,bumbu,processed food,,,,,,,,,,,,,,,,,,,,,,
293,NP001,Balichong,KZGMI-2001,bumbu,processed food,59.9,152.0,13.2,0.8,22.9,1.5,3.6,380.0,210.0,2.9,120,310.0,0.8,1.1,34.0,0,,0.01,0.08,0.2,,
294,NP002,Bekasam,KZGMI-2001,bumbu,processed food,65.5,116.0,11.9,4.9,6.1,3.5,11.6,704.0,757.0,7.5,711,176.0,0.8,1.9,,0,,0,0.03,2.1,,
295,NP003,Bekasang,KZGMI-2001,bumbu,processed food,67.1,78.0,11.4,2.0,3.6,0.4,15.9,54.0,97.0,2.6,4016,121.0,0.2,4.8,,,,0.15,0.12,0.6,,
296,NP004,Cuka,DABM-1964,bumbu,processed food,94.5,21.0,0.1,0.1,5.0,0.0,0.3,7.0,10.0,0.5,21,37.8,0.0,0.0,,0,,0.24,0.0,0.7,,100.0
297,NP005,Kecap,DABM-1964,bumbu,processed food,63.0,71.0,5.7,1.3,9.0,0.0,21.0,123.0,96.0,5.7,1114,,0.04,,0.0,,,0,,,0.0,100.0
298,NP006,Petis ikan,DABM-1964,bumbu,processed food,56.0,165.0,20.0,0.2,20.8,,3.0,37.0,36.0,2.8,,,,,,,0,0.01,0.2,0.8,0.0,100.0
299,NP007,Petis udang kering,KZGPI- 1990,bumbu,processed food,8.3,345.0,23.8,1.4,59.3,0.0,7.1,221.0,397.0,3.8,"1199
8",462.8,0.75,1.9,,0,232,1.02,0.4,2.2,0.0,100.0
300,NP008,Petis udang pasta,DABM-1964,bumbu,processed food,39.0,220.0,15.0,0.9,38.0,2.3,7.1,37.0,36.0,2.8,7981,307.9,0.5,1.3,,0,0,0.01,0.13,1.7,0.0,100.0
301,NP009,Saos tomat,DABM-1964,bumbu,processed food,69.5,110.0,2.0,0.4,24.5,0.9,3.6,12.0,18.0,0.8,890,129.6,0.18,0.3,,357,570,0.09,0.06,1.7,11.0,100.0
302,NP010,Tempoya,KZGMI-2001,bumbu,processed food,70.1,110.0,1.7,1.3,21.9,2.6,5.0,190.0,45.0,2.9,597,486.3,,,,71,,0.3,0.04,1.1,0.0,100.0
303,NP011,Terasi,KZGPI- 1990,bumbu,processed food,33.8,155.0,22.3,2.9,9.9,2.7,31.1,3812.0,726.0,78.5,1664,821.4,0.99,2.4,,0,0,0.24,0.0,3.3,0.0,100.0
304,NP012,Terasi dobo,KZGMI-2001,bumbu,processed food,58.4,191.0,33.1,3.6,6.6,1.6,11.5,2250.0,1130.0,22.9,650,1260.0,2.9,5.0,,0,,3.74,0.22,2.0,,100.0
305,NP013,Terasi merah,DABM-1964,bumbu,processed food,40.0,174.0,30.0,3.5,5.6,2.2,20.4,100.0,150.0,3.1,7850,302.8,0.49,1.2,,0,0,0,0.12,1.7,0.0,100.0
306,TUNGGAL/SINGLE,,,daging dan unggas,single,,,,,,,,,,,,,,,,,,,,,,
307,FR001,"Anak sapi, daging,
gemuk, segar",DABM-1964,daging dan unggas,single,62.0,184.0,18.8,14.0,0.0,0.0,5.2,10.0,200.0,2.2,118.0,490.1,0.17,3.3,12.0,37.0,,0.13,0.17,7,,100.0
308,FR002,"Anak sapi, daging,
kurus, segar",DABM-1964,daging dan unggas,single,69.0,174.0,19.6,10.0,0.0,0.0,1.4,11.0,201.0,2.9,96.0,399.8,0.14,2.7,6.0,30.0,,0.08,0.14,5.7,0.0,100.0
309,FR003,"Anak sapi, daging,
sedang, segar",DABM-1964,daging dan unggas,single,68.0,190.0,19.1,12.0,0.0,0.0,0.9,11.0,193.0,2.9,99.0,412.7,0.14,2.8,12.0,83.0,,0.14,0.15,5.9,0.0,100.0
310,FR004,"Angsa, daging, segar",DABM-1964,daging dan unggas,single,51.1,349.0,16.4,31.5,0.0,0.0,1.0,15.0,188.0,1.8,71.0,299.2,0.26,1.7,273.0,0.0,,0.1,0.24,7.11,0.0,60.0
311,FR005,"Ayam, daging, segar",DABM-1964,daging dan unggas,single,55.9,298.0,18.2,25.0,0.0,0.0,0.9,14.0,200.0,1.5,109.0,385.9,0.11,0.6,245.0,0.0,,0.08,0.14,10.4,0.0,58.0
312,FR006,"Ayam, dideh/darah,
segar",DABM-1964,daging dan unggas,single,82.0,75.0,13.8,1.9,0.7,0.0,1.6,15.0,9.0,1.3,337.0,234.0,,,15.0,,,0.02,,0.6,0.0,100.0
313,FR007,"Ayam, hati, segar","KZGMS-
1993",daging dan unggas,single,53.4,261.0,27.4,16.1,1.6,0.0,1.5,118.0,373.0,15.8,1068.0,22.9,0.84,0.0,4957.0,169.0,28000.0,0.64,4.38,4.11,0.0,100.0
314,FR008,"Babi, daging,
gemuk,segar",DABM-1964,daging dan unggas,single,42.0,453.0,11.9,45.0,0.0,0.0,1.1,7.0,117.0,1.8,112.0,819.3,0.22,0.4,0.0,0.0,,0.58,0.59,5.9,0.0,100.0
315,FR009,"Babi, daging, kurus,
segar",DABM-1964,daging dan unggas,single,50.0,371.0,14.1,35.0,0.0,0.0,0.9,8.0,151.0,2.1,97.0,706.3,0.19,0.4,0.0,0.0,,0.67,0.33,5.4,0.0,100.0
316,FR010,"Babi, ginjal, segar",DABM-1964,daging dan unggas,single,77.1,110.0,16.3,4.6,0.8,0.0,1.2,11.0,246.0,8.0,139.0,390.0,0.71,3.2,39.0,10.0,,0.58,1.59,9.1,13.0,100.0
317,FR011,"Babi, hati, segar",DABM-1964,daging dan unggas,single,72.3,129.0,19.7,4.8,1.7,0.0,1.5,10.0,362.0,18.0,110.0,447.0,0.58,0.1,4303.0,6.0,,0.4,1.16,5.7,23.0,100.0
318,FR012,"Bebek (itik), daging,
segar",DABM-1964,daging dan unggas,single,54.3,321.0,16.0,28.6,0.0,0.0,1.1,15.0,188.0,1.8,54.0,199.0,0.21,1.2,273.0,0.0,,0.1,0.28,4.3,0.0,60.0
319,FR013,"Bebek alabio, daging,
segar",KZGMI-2001,daging dan unggas,single,57.0,303.0,11.3,27.0,3.7,0.0,1.0,20.0,293.0,4.8,50.0,260.0,0.7,2.0,,0.0,,0.36,0.04,4.1,,100.0
320,FR014,"Belibis, daging, segar",KZGMI-2001,daging dan unggas,single,71.3,131.0,20.2,4.3,2.8,0.0,1.4,8.0,192.0,9.6,46.0,104.0,1.2,1.6,,0.0,,0.37,0.08,2.7,,100.0
321,FR015,"Burung, sarang, segar",DABM-1964,daging dan unggas,single,24.8,281.0,37.5,0.3,32.1,,5.3,485.0,18.0,3.0,,,,,0.0,,,,,,0.0,100.0
322,FR016,"Domba, daging,
gemuk, segar",DABM-1964,daging dan unggas,single,55.8,317.0,15.7,27.7,0.0,0.0,0.8,9.0,157.0,2.4,64.0,242.1,0.11,3.7,0.0,0.0,,0.14,0.23,6.5,0.0,100.0
323,FR017,"Domba, daging, kurus,
segar",DABM-1964,daging dan unggas,single,66.3,202.0,17.1,14.8,0.0,0.0,1.8,10.0,191.0,2.6,90.0,355.0,0.08,2.8,0.0,0.0,,0.15,0.26,5.7,0.0,100.0
324,FR018,"Domba, ginjal, segar",DABM-1964,daging dan unggas,single,77.8,100.0,16.6,3.3,1.0,0.0,1.3,13.0,237.0,9.2,155.0,276.0,0.48,2.4,348.0,515.0,,0.51,2.35,7.5,13.0,100.0
325,FR019,"Kambing, daging,
segar",DABM-1964,daging dan unggas,single,70.3,149.0,16.6,9.2,0.0,0.0,3.9,11.0,124.0,1.0,96.0,268.7,0.31,4.9,0.0,0.0,,0.09,0.23,5,0.0,100.0
326,FR020,"Kelinci, daging, segar",FCTEA-1972,daging dan unggas,single,74.3,142.0,16.9,7.8,0.0,0.0,1.0,7.0,350.0,1.0,49.0,371.1,,,0.0,0.0,0.0,0.11,0.11,6.8,,100.0
327,FR021,"Kerbau, daging, segar",DABM-1964,daging dan unggas,single,80.0,79.0,18.7,0.5,0.0,0.0,0.8,14.0,221.0,3.3,91.0,273.0,0.13,1.6,,,,0.06,0.17,5,0.0,100.0
328,FR022,"Kuda, daging, segar",DABM-1964,daging dan unggas,single,76.0,113.0,18.1,4.1,0.9,0.0,0.9,10.0,150.0,2.7,46.0,315.7,0.13,2.5,0.0,,,0.07,0.07,3,0.0,100.0
329,FR023,"Sapi, babat, segar",DABM-1964,daging dan unggas,single,76.7,108.0,17.6,4.2,0.0,0.0,1.5,12.0,144.0,1.0,147.0,101.4,0.11,2.2,0.0,49.0,,0.15,0.17,1.7,0.0,100.0
330,FR024,"Sapi, daging, gemuk,
segar",DABM-1964,daging dan unggas,single,60.0,273.0,17.5,22.0,0.0,0.0,0.5,10.0,150.0,2.6,93.0,267.0,0.17,6.4,12.0,0.0,,0.08,0.18,7.3,0.0,100.0
331,FR025,"Sapi, daging, kurus,
segar",DABM-1964,daging dan unggas,single,69.0,174.0,19.6,10.0,0.0,0.0,1.4,11.0,181.0,2.9,83.0,489.0,0.07,4.9,6.0,181.0,,0.07,0.51,1.2,0.0,100.0
332,FR026,"Sapi, daging, lemak
sedang, segar",DABM-1964,daging dan unggas,single,66.0,201.0,18.8,14.0,0.0,0.0,1.2,11.0,170.0,2.8,105.0,378.0,4.58,5.2,9.0,198.0,,0.08,0.56,1.3,0.0,100.0
333,FR027,"Sapi, daleman, segar",KZGMI-2001,daging dan unggas,single,70.1,183.0,12.0,14.4,1.4,0.0,2.1,43.0,319.0,1.8,277.0,160.0,0.1,0.8,,104.0,,0.31,0.22,8.4,,100.0
334,FR028,"Sapi, dideh/darah",DABM-1964,daging dan unggas,single,75.6,98.0,21.9,1.1,0.0,0.0,1.4,7.0,24.0,1.3,150.0,170.0,,0.2,15.0,214.0,,0.01,0.03,0.9,0.0,100.0
335,FR029,"Sapi, ginjal, segar",DABM-1964,daging dan unggas,single,74.9,137.0,15.0,8.1,0.9,0.0,1.1,9.0,221.0,7.9,200.0,230.2,,,348.0,583.0,,0.37,1.22,6.1,13.0,100.0
336,FR030,"Sapi, keleponan, segar",KZGMI-2001,daging dan unggas,single,83.8,84.0,10.5,4.6,0.2,0.0,0.9,20.0,13.0,2.1,73.0,318.0,0.2,1.7,857.0,34.0,,0.1,0.14,0.3,,100.0
337,FR031,"Sapi, liver, segar",DABM-1964,daging dan unggas,single,69.7,132.0,19.7,3.2,6.0,0.0,1.4,7.0,358.0,6.6,110.0,213.0,0.51,2.3,13303.0,355.0,,0.26,1.52,11.4,31.0,100.0
338,FR032,"Sapi, otak, segar",DABM-1964,daging dan unggas,single,78.9,123.0,10.4,8.6,0.8,0.0,1.3,16.0,330.0,3.6,112.0,243.8,0.26,0.9,0.0,0.0,,0.23,0.19,3.9,18.0,100.0
339,FR033,"Sapi, usus, segar",DABM-1964,daging dan unggas,single,76.7,126.0,14.0,7.2,1.5,0.0,0.6,14.0,115.0,4.0,,,,,61.0,0.0,,0.08,0.33,0.2,0.0,100.0
340,FR034,Ulat sagu segar,KZGMI-2001,daging dan unggas,single,65.9,241.0,5.8,21.6,5.8,2.8,0.9,20.0,70.0,0.5,210.0,210.0,1.0,7.7,,0.0,,0.17,1.45,0.1,,100.0
341,OLAHAN/PRODUK/KOMPOSIT,,,daging dan unggas,processed food,,,,,,,,,,,,,,,,,,,,,,
342,FP001,"Ayam, ampela, goreng","KZGMS-
1993",daging dan unggas,processed food,4.8,270.0,32.3,11.2,9.9,0.0,1.8,129.0,314.0,4.9,980.0,,0.12,3.3,56.0,,0.0,0.21,,4.72,0.0,100.0
343,FP002,"Ayam, usus, goreng",KZGPI-1990,daging dan unggas,processed food,4.6,473.0,45.2,26.3,13.9,0.0,10.1,1407.0,458.0,8.4,,,,,6.0,,224.0,0.57,,0,,100.0
344,FP003,"Bebek, daging, goreng",KZGMI-2001,daging dan unggas,processed food,48.8,300.0,24.0,20.7,4.5,0.0,2.0,170.0,170.0,4.1,34.0,6.0,0.4,3.0,,0.0,,0.1,0.4,10.6,,100.0
345,FP004,"Buaya, daging,
dendeng, mentah",KZGMI-2001,daging dan unggas,processed food,12.3,365.0,49.6,4.8,30.8,,2.5,60.0,130.0,4.3,500.0,680.0,0.2,11.6,,0.0,,,,0.2,,100.0
346,FP005,Ham,DABM-1964,daging dan unggas,processed food,42.0,384.0,16.9,35.0,0.3,0.0,5.8,10.0,136.0,2.5,112.0,819.3,0.11,0.4,0.0,,,0.7,0.95,9.7,0.0,100.0
347,FP006,"Itik alabio, daging,
dendeng, mentah",KZGMI-2001,daging dan unggas,processed food,12.7,496.0,30.3,33.5,18.4,,5.1,135.0,370.0,12.5,1081.0,478.0,0.7,0.3,,0.0,,,,,,100.0
348,FP007,Kerupuk urat,KZGMI-2001,daging dan unggas,processed food,3.6,588.0,53.7,40.9,1.2,,0.6,36.0,15.0,1.3,1024.0,37.0,0.1,0.2,2802.0,,,,,,,100.0
349,FP008,"Menjangan, daging,
dendeng, mentah",KZGMI-2001,daging dan unggas,processed food,14.3,322.0,55.8,2.0,22.7,,5.3,55.0,310.0,2.1,765.0,1282.0,1.7,3.2,3391.0,26.0,,,,,,100.0
350,FP009,"Punai, daging, goreng",KZGMI-2001,daging dan unggas,processed food,54.5,224.0,26.2,11.3,4.4,,3.6,362.0,362.0,3.1,2.0,19.0,0.3,1.6,,,,,,,,100.0
351,FP010,"Rusa, daging,
dendeng, mentah",KZGMI-2001,daging dan unggas,processed food,18.3,536.0,40.5,41.5,0.0,,2.5,90.0,420.0,13.4,130.0,690.0,0.3,10.7,285.0,,,,,0.2,,100.0
352,FP011,"Sapi, abon",KZGPI-1990,daging dan unggas,processed food,7.1,212.0,18.0,10.6,59.3,7.5,4.7,150.0,209.0,12.3,,,,,0.0,240.0,138.0,0.17,,,0.0,100.0
353,FP012,"Sapi, abon, asli",KZGPI-1990,daging dan unggas,processed food,24.8,358.0,14.6,16.1,38.6,2.5,5.8,165.0,136.0,14.6,,,,,3.0,194.0,144.0,0.13,,,0.0,100.0
354,FP013,"Sapi, daging, asap",DABM-1964,daging dan unggas,processed food,60.0,182.0,32.0,6.0,0.0,0.0,2.0,15.0,300.0,5.0,1620.0,485.4,0.03,5.1,6.0,,,0.12,0.23,5.9,0.0,100.0
355,FP014,"Sapi, daging, dendeng,
mentah",DABM-1964,daging dan unggas,processed food,25.0,301.0,55.0,9.0,0.0,,11.0,30.0,370.0,5.1,,,,,0.0,,,0.1,,,0.0,100.0
356,FP015,"Sapi, daging, kornet",DABM-1964,daging dan unggas,processed food,53.0,289.0,16.0,25.0,0.0,0.0,6.0,10.0,170.0,4.0,794.0,94.4,0.07,4.0,0.0,52.0,,0.01,0.16,2.7,0.0,100.0
